model,regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error,signal_regime
nori,scaling_n,5000,2000,4,1.264636328996576,0.9310854757309291,399.24847507476807,,fixed
nori,scaling_n,10000,2000,0,1.2792329480705475,0.9330757922422952,440.3915057182312,,fixed
nori,scaling_n,10000,2000,1,1.257528082573676,0.9294383483610996,433.6278660297394,,fixed
nori,scaling_n,10000,2000,2,1.2396778791151857,0.9252372163626822,462.24878907203674,,fixed
nori,scaling_n,10000,2000,3,1.1566656518848746,0.9405203598295035,460.3354868888855,,fixed
nori,scaling_n,10000,2000,4,1.2751019453490493,0.9299401388921814,449.7845370769501,,fixed
random_forest,fixed_n,10,2000,0,2.356888786598435,0.7728241582923712,0.2495830059051513,,fixed
random_forest,fixed_n,10,2000,1,2.118819904416027,0.7996813238804824,0.2785458564758301,,fixed
random_forest,fixed_n,10,2000,2,2.06198005275315,0.7931589760616825,0.2731311321258545,,fixed
random_forest,fixed_n,10,2000,3,2.3525966143662567,0.7539362774976288,0.2535209655761719,,fixed
random_forest,fixed_n,10,2000,4,2.3807073371633427,0.7557742363838322,0.27406907081604,,fixed
random_forest,fixed_n,20,2000,0,2.5720190923887176,0.7294594667715424,0.254936933517456,,fixed
random_forest,fixed_n,20,2000,1,2.405182456530681,0.7418753928569168,0.2476949691772461,,fixed
random_forest,fixed_n,20,2000,2,2.272116498038337,0.7488524476291694,0.2575201988220215,,fixed
random_forest,fixed_n,20,2000,3,2.509335744444497,0.7200566209577013,0.267855167388916,,fixed
random_forest,fixed_n,20,2000,4,2.6866518502578187,0.6889700293214711,0.2595620155334472,,fixed
random_forest,fixed_n,50,2000,0,2.6086549751019397,0.7216974085526859,0.3280160427093506,,fixed
random_forest,fixed_n,50,2000,1,2.633810037980218,0.6904703545873824,0.3171639442443847,,fixed
random_forest,fixed_n,50,2000,2,2.3559335251059363,0.7299813110961679,0.3151969909667969,,fixed
random_forest,fixed_n,50,2000,3,2.485016597600145,0.7254564519513049,0.4156141281127929,,fixed
random_forest,fixed_n,50,2000,4,2.726744705706533,0.6796177754844355,0.3956360816955566,,fixed
random_forest,fixed_n,100,2000,0,2.6896903945613113,0.7041384354279652,0.4651920795440674,,fixed
random_forest,fixed_n,100,2000,1,2.3482036569542326,0.7539604787539995,0.3964471817016601,,fixed
random_forest,fixed_n,100,2000,2,2.347460161529394,0.7319201196768554,0.405627965927124,,fixed
random_forest,fixed_n,100,2000,3,2.5525549717125293,0.7103304384007672,0.4271469116210937,,fixed
random_forest,fixed_n,100,2000,4,2.576309649359069,0.7139937158243184,0.4212398529052734,,fixed
random_forest,fixed_n,200,2000,0,2.6412412332853568,0.7147010964161569,0.4982233047485351,,fixed
random_forest,fixed_n,200,2000,1,2.3443052412259324,0.754776735171073,0.5189828872680664,,fixed
random_forest,fixed_n,200,2000,2,2.3436516717488267,0.7327892728911939,0.4939489364624023,,fixed
random_forest,fixed_n,200,2000,3,2.573287347037285,0.7056058175840538,0.5034739971160889,,fixed
random_forest,fixed_n,200,2000,4,2.5119242603495544,0.7281104373373894,0.5367822647094727,,fixed
random_forest,fixed_n,500,2000,0,2.5785683927134313,0.7280799225079447,0.7695960998535156,,fixed
random_forest,fixed_n,500,2000,1,2.2400837406132417,0.776095995619311,0.941236972808838,,fixed
