model,regime,signal_regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error
ridge,fixed_n,scaling,10000,2000,4,63.003749111861694,0.169583422627855,1.037597894668579,
tabicl,fixed_n,scaling,10,2000,0,1.139067914586689,0.9469380503659496,1.796440601348877,
tabicl,fixed_n,scaling,10,2000,1,1.1755466551772595,0.9383386408358696,0.739124059677124,
tabicl,fixed_n,scaling,10,2000,2,1.1454634331069775,0.936169210073554,0.6847269535064697,
tabicl,fixed_n,scaling,10,2000,3,1.2002255243311308,0.9359560114582184,0.6970009803771973,
tabicl,fixed_n,scaling,10,2000,4,1.295134284189891,0.9277215126073148,0.6765849590301514,
tabicl,fixed_n,scaling,20,2000,0,1.224316653496968,0.9386984466627176,0.8366608619689941,
tabicl,fixed_n,scaling,20,2000,1,1.232454013518363,0.9322241769770132,0.8146419525146484,
tabicl,fixed_n,scaling,20,2000,2,1.1789446195168127,0.9323832069331288,0.8127999305725098,
tabicl,fixed_n,scaling,20,2000,3,1.386464721778545,0.9145385412547068,0.8102972507476807,
tabicl,fixed_n,scaling,20,2000,4,1.3107316929316994,0.9259701180960744,0.8226618766784668,
tabicl,fixed_n,scaling,50,2000,0,1.2422242302833295,0.9368920667049196,1.219857931137085,
tabicl,fixed_n,scaling,50,2000,1,1.2862347305648172,0.9261800379866584,1.2543139457702637,
tabicl,fixed_n,scaling,50,2000,2,1.2904966507861515,0.918981999039544,1.2782001495361328,
tabicl,fixed_n,scaling,50,2000,3,1.361495056865251,0.9175890743460068,1.2140538692474363,
tabicl,fixed_n,scaling,50,2000,4,1.5255739193349125,0.899712693682165,1.177377223968506,
tabicl,fixed_n,scaling,100,2000,0,1.4600431385237955,0.912820305893972,1.9734630584716797,
tabicl,fixed_n,scaling,100,2000,1,1.481751925265266,0.9020319748556352,1.8932209014892576,
tabicl,fixed_n,scaling,100,2000,2,1.3907487860457015,0.9059053050312834,1.878530979156494,
tabicl,fixed_n,scaling,100,2000,3,1.47362365777189,0.9034558807984768,1.854151964187622,
tabicl,fixed_n,scaling,100,2000,4,1.5400242273225722,0.8978038437636487,1.8483772277832031,
tabicl,fixed_n,scaling,200,2000,0,1.1273840756390832,0.8109227665927318,3.504561185836792,
tabicl,fixed_n,scaling,200,2000,1,1.1919446473940982,0.7421976025233044,3.504661798477173,
tabicl,fixed_n,scaling,200,2000,2,1.07680333018284,0.821210287651353,3.317760944366455,
tabicl,fixed_n,scaling,200,2000,3,1.2269235860775474,0.7598348553009796,3.389060735702514,
tabicl,fixed_n,scaling,200,2000,4,1.188650251262281,0.7838402016764789,3.379000186920166,
tabicl,fixed_n,scaling,500,2000,0,7.449100954591901,0.817623852731985,13.54720425605774,
tabicl,fixed_n,scaling,500,2000,1,7.12427302032806,0.8464050955630484,9.433892011642456,
tabicl,fixed_n,scaling,500,2000,2,7.619420251847271,0.8330705053913511,9.185427904129028,
tabicl,fixed_n,scaling,500,2000,3,9.659320376569264,0.7546916812987771,9.170203924179075,
tabicl,fixed_n,scaling,500,2000,4,7.491387794219892,0.840665630437756,9.374369144439695,
tabicl,fixed_n,scaling,1000,2000,0,16.24763906089982,0.6181819277346515,32.93750190734863,
tabicl,fixed_n,scaling,1000,2000,1,16.97011649748705,0.5984469880010601,32.15606093406677,
tabicl,fixed_n,scaling,1000,2000,2,14.703754881153907,0.6791203903997467,29.09834599494934,
tabicl,fixed_n,scaling,1000,2000,3,15.015783493774842,0.6174258009680307,29.809381008148193,
tabicl,fixed_n,scaling,1000,2000,4,16.52385682178923,0.6050422155171438,27.92932629585266,
tabicl,fixed_n,scaling,2000,2000,0,27.796800407639108,0.4854478895456608,192.1375858783722,
tabicl,fixed_n,scaling,2000,2000,1,20.873067397364213,0.7345243144657991,173.82994294166565,
tabicl,fixed_n,scaling,2000,2000,2,23.3360720256936,0.6463371023261293,207.10654711723328,
tabicl,fixed_n,scaling,2000,2000,3,26.580358853066564,0.5095359131552888,211.6985969543457,
tabicl,fixed_n,scaling,2000,2000,4,21.35716480923487,0.7097390600916618,219.03590083122253,
tabicl,fixed_n,scaling,5000,2000,0,49.07209833810329,0.2338981675339624,360.9154930114746,
tabicl,fixed_n,scaling,5000,2000,1,49.23112429378221,0.2289010822272736,358.03551483154297,
